age,gender,covid_distancing,covid_masks,vaccinated,self_rated_mental_4,ethnicity,hours,work_location,income,educational_attainment,occupation
0,2,2,2,0,1,1,15,1,1,2,1
0,2,1,2,2,1,1,6,2,0,3,1
1,1,1,2,0,0,6,35,3,2,3,1
1,1,1,1,1,1,2,36,2,2,2,7
2,3,2,1,1,1,2,36,2,2,3,5
0,2,2,2,0,1,2,15,2,1,3,7
0,2,2,2,1,1,3,40,2,0,2,5
2,1,1,2,2,1,6,6,2,1,2,2
0,2,1,2,0,1,6,12,2,0,2,3
1,3,2,1,1,1,5,28,2,2,2,3
0,2,2,2,0,1,2,15,2,3,2,3
1,2,2,2,1,0,6,70,3,0,3,5
1,2,1,2,2,1,6,6,2,1,2,3
1,1,2,2,0,1,6,20,2,1,3,2
0,2,2,2,1,1,3,40,2,0,2,5
0,2,2,2,0,1,2,16,3,0,3,1
0,1,2,2,2,1,1,4,2,2,2,3
2,2,2,2,0,0,6,50,3,3,3,3
3,2,2,2,1,1,6,40,3,2,3,1
0,2,2,2,2,1,6,40,2,3,3,3
0,2,1,2,0,0,6,25,1,0,1,5
1,2,0,1,0,1,6,80,2,0,3,7
1,2,0,1,0,1,6,80,2,0,3,7
1,2,0,1,0,1,6,80,2,0,3,7
1,2,2,2,1,1,6,3,2,1,3,3
0,2,0,2,1,0,3,4,2,2,2,3
0,2,1,2,0,1,3,6,2,1,3,5
0,1,2,2,2,1,6,6,2,2,2,9
0,2,0,2,1,0,3,4,2,2,2,3
1,2,1,0,2,1,6,3,2,1,3,3
1,1,2,2,1,1,3,10,2,2,2,5
0,1,2,2,2,1,6,35,2,3,3,5
0,1,2,2,2,1,1,4,3,2,3,3
0,1,2,2,2,1,1,4,3,2,3,3
0,1,1,1,2,1,5,60,2,0,2,4
1,2,0,1,1,1,5,25,2,2,3,4
4,2,2,2,0,1,6,20,2,2,1,5
1,1,2,2,0,1,6,40,2,1,3,3
0,2,2,2,2,1,6,30,2,0,2,7
1,1,2,2,2,1,2,40,2,3,3,5
2,2,2,2,1,0,6,40,3,1,3,3
1,1,2,1,0,1,6,50,2,1,3,3
1,1,2,2,1,0,4,10,3,0,3,5
2,2,2,1,1,0,6,56,2,1,2,4
1,1,1,1,2,1,6,30,2,1,2,5
0,1,1,1,1,1,6,8,2,0,3,5
1,2,2,2,1,1,6,40,2,1,2,1
0,1,1,2,1,1,1,40,1,1,1,9
1,1,2,2,2,1,5,3,2,0,3,6
0,2,1,1,0,1,6,3,2,0,2,2
2,2,1,1,0,1,6,30,3,2,3,2
3,2,2,2,1,1,6,35,2,2,3,5
0,1,1,1,1,1,6,30,2,2,3,5
1,1,2,2,2,1,6,30,2,1,3,1
1,1,2,2,1,1,3,35,2,3,3,2
1,1,2,2,2,1,6,30,2,1,3,3
2,1,2,2,2,1,6,25,2,1,3,6
0,1,2,2,1,1,6,5,3,2,3,6
1,1,1,2,0,1,5,4,1,2,2,5
0,1,0,0,1,0,6,30,2,1,1,8
4,2,2,2,1,1,6,35,2,2,2,2
0,2,1,1,1,1,2,20,2,0,2,4
1,2,2,2,2,1,1,5,2,1,3,2
1,2,2,2,2,1,5,80,2,0,3,3
3,2,1,1,0,1,6,35,2,1,3,3
4,2,2,2,1,1,6,25,1,2,3,4
1,1,2,2,2,1,1,40,2,1,3,4
0,1,1,1,1,1,6,30,2,1,1,9
2,2,2,2,1,1,6,50,3,1,1,3
4,1,2,2,1,1,6,21,3,1,3,4
0,2,1,2,0,1,6,10,2,2,3,8
1,1,2,2,2,1,6,20,2,0,3,3
1,2,2,2,2,1,6,35,2,3,3,5
0,2,2,1,1,1,6,5,2,0,2,5
1,1,2,1,1,1,6,3,2,0,3,2
1,2,2,1,1,1,6,3,2,1,3,2
1,1,0,2,2,1,6,2,2,0,3,1
1,1,2,2,1,1,6,3,2,1,3,8
0,1,2,1,1,1,2,6,2,0,3,3
0,2,1,2,1,1,6,8,2,3,3,9
1,1,1,2,2,1,6,30,2,2,3,7
1,3,2,2,0,1,6,4,3,3,3,1
0,2,2,2,1,1,2,5,2,0,3,5
0,1,2,2,2,1,6,20,2,0,2,3
1,1,0,1,2,1,6,8,2,0,2,7
0,2,2,2,1,1,6,5,2,0,2,7
1,1,2,2,2,1,6,8,2,0,2,5
1,1,1,1,1,0,6,8,2,1,2,6
0,1,1,2,1,1,6,3,2,1,3,4
1,1,1,2,1,1,6,5,3,1,2,8
1,1,2,2,0,1,1,6,2,2,3,1
3,2,2,2,1,1,6,5,1,0,1,5
1,2,2,2,1,1,6,30,2,0,2,2
4,2,2,2,1,1,6,25,1,1,1,8
0,2,2,2,0,0,2,50,1,1,3,1
0,2,2,2,2,0,5,3,2,0,3,2
0,3,1,1,2,0,2,6,2,0,2,5
3,1,2,2,2,1,6,30,2,1,3,3
1,1,2,2,2,1,6,40,2,3,3,2
0,2,1,2,0,1,6,15,2,1,2,3
1,2,2,2,0,1,5,50,2,0,3,6
0,1,1,2,1,0,6,20,2,2,2,5
2,1,1,1,0,1,2,8,2,2,2,8
1,2,0,0,1,1,3,30,2,0,1,2
1,2,2,2,1,1,6,4,2,0,2,5
0,1,1,1,1,1,6,2,2,2,3,7
