age,gender,covid_distancing,covid_masks,vaccinated,self_rated_mental_health,ethnicity,hours,occupation,work location,income,educational_attainment
2,1,2,2,2,1,6,30,2,2,2,3
3,1,2,2,2,1,6,25,1,2,2,3
1,1,2,2,1,1,6,5,1,3,3,3
2,1,1,2,0,1,5,4,9,1,3,2
1,1,0,0,1,0,6,30,10,2,2,1
5,2,2,2,1,1,6,35,4,2,3,2
1,2,1,1,1,1,2,20,3,2,1,2
2,2,2,2,2,1,1,5,4,2,2,3
2,2,2,2,2,1,5,80,2,2,1,3
4,2,1,1,0,1,6,35,2,2,2,3
5,2,2,2,1,1,6,25,3,1,3,3
2,1,2,2,2,1,1,40,3,2,2,3
1,1,1,1,1,1,6,30,6,2,2,1
3,2,2,2,1,1,6,50,2,3,2,1
5,1,2,2,1,1,6,21,3,3,2,3
1,2,1,2,0,1,6,10,10,2,3,3
2,1,2,2,2,1,6,20,2,2,1,3
2,2,2,2,2,1,6,35,9,2,4,3
1,2,2,1,1,1,6,5,9,2,1,2
2,1,2,1,1,1,6,3,4,2,1,3
2,2,2,1,1,1,6,3,4,2,2,3
2,1,0,2,2,1,6,2,5,2,1,3
2,1,2,2,1,1,6,3,10,2,2,3
1,1,2,1,1,1,2,6,2,2,1,3
1,2,1,2,1,1,6,8,6,2,4,3
2,1,1,2,2,1,6,30,7,2,3,3
2,3,2,2,0,1,6,4,5,3,4,3
1,2,2,2,1,1,2,5,9,2,1,3
1,1,2,2,2,1,6,20,2,2,1,2
2,1,0,1,2,1,6,8,7,2,1,2
1,2,2,2,1,1,6,5,7,2,1,2
2,1,2,2,2,1,6,8,9,2,1,2
2,1,1,1,1,0,6,8,1,2,2,2
1,1,1,2,1,1,6,3,3,2,2,3
2,1,1,2,1,1,6,5,10,3,2,2
2,1,2,2,0,1,1,6,5,2,3,3
4,2,2,2,1,1,6,5,9,1,1,1
2,2,2,2,1,1,6,30,4,2,1,2
5,2,2,2,1,1,6,25,10,1,2,1
1,2,2,2,0,0,2,50,5,1,2,3
1,2,2,2,2,0,5,3,4,2,1,3
1,3,1,1,2,0,2,6,9,2,1,2
4,1,2,2,2,1,6,30,2,2,2,3
2,1,2,2,2,1,6,40,4,2,4,3
1,2,1,2,0,1,6,15,2,2,2,2
2,2,2,2,0,1,5,50,1,2,1,3
1,1,1,2,1,0,6,20,9,2,3,2
3,1,1,1,0,1,2,8,10,2,3,2
2,2,0,0,1,1,3,30,4,2,1,1
2,2,2,2,1,1,6,4,9,2,1,2
1,1,1,1,1,1,6,2,7,2,3,3
1,2,1,2,1,1,6,20,9,2,1,2
2,2,2,2,0,0,6,25,9,1,4,3
1,1,0,2,1,1,6,8,9,2,3,3
2,1,2,2,1,1,1,40,6,2,2,1
2,2,2,2,2,1,6,40,5,2,2,3
2,1,2,1,1,0,1,35,6,2,2,1
1,1,1,2,2,0,1,20,7,2,2,3
3,2,2,2,2,1,6,6,5,3,2,2
3,1,2,1,1,0,1,30,9,2,2,1
2,2,2,1,0,1,6,20,2,2,2,2
2,1,2,2,1,1,1,35,6,2,2,1
2,2,1,2,2,1,6,6,9,2,3,2
2,1,2,2,2,1,6,9,4,2,3,2
2,2,1,1,1,1,6,30,9,2,2,3
1,2,2,2,1,1,6,10,4,3,1,2
1,2,2,2,1,1,6,8,9,2,1,1
2,1,2,2,2,1,1,32,10,2,2,1
2,1,2,2,1,1,1,35,1,2,2,1
3,2,1,0,2,1,4,30,7,2,1,2
1,2,1,2,1,1,6,30,2,2,3,2
3,1,2,2,0,0,6,5,8,3,1,1
2,2,2,1,0,1,6,20,2,2,3,2
1,2,2,2,1,0,6,40,5,3,3,3
5,2,2,2,1,1,6,80,5,3,3,3
2,1,2,2,1,1,3,10,10,2,3,2
1,2,1,2,2,1,4,15,5,2,1,2
1,1,1,0,2,1,2,60,7,2,1,2
2,2,2,1,0,1,6,20,2,2,2,2
1,1,2,2,2,1,3,30,4,3,1,3
3,1,2,1,1,1,1,32,8,2,2,1
2,1,2,1,1,1,1,32,10,2,2,1
1,1,2,2,1,1,6,2,1,2,2,2
5,2,2,2,0,1,6,8,10,3,1,2
2,1,2,2,1,1,1,35,9,2,2,1
2,1,2,1,1,0,1,40,6,2,2,1
3,1,2,2,1,1,1,32,10,2,2,1
1,1,1,1,1,1,2,9,2,2,1,3
1,1,1,1,1,1,2,9,2,2,1,2
1,1,1,1,1,1,2,9,2,2,1,2
3,2,2,2,1,1,6,6,10,2,3,2
1,2,2,1,1,1,4,8,7,2,2,2
5,2,1,2,1,1,6,40,5,1,3,2
1,2,1,1,0,1,6,5,9,2,1,3
1,2,1,1,0,1,6,5,9,2,1,3
2,2,2,2,2,1,6,40,7,2,2,3
1,2,2,2,0,1,6,37.5,5,2,2,3
2,1,2,2,1,1,1,35,6,2,2,1
2,3,2,2,1,0,6,50,3,2,2,2
3,2,1,0,1,1,1,35,5,2,1,2
1,1,1,0,1,1,6,40,9,2,2,3
2,2,2,1,0,1,6,20,2,2,2,2
4,1,2,2,1,1,6,50,4,2,1,1
3,2,2,2,1,0,6,20,5,2,4,3
1,2,1,2,0,1,6,6,10,2,1,3
1,1,1,2,0,0,6,10,9,2,1,1
1,2,1,2,0,1,6,6,10,2,1,3
1,2,1,2,0,0,2,4,9,1,2,3
1,2,2,2,2,1,6,30,1,2,2,2
1,2,1,2,0,1,6,6,10,2,1,3
1,3,2,2,1,0,6,15,5,2,1,2
1,2,1,2,0,1,6,6,10,2,1,3
2,2,2,2,1,1,6,35,5,2,2,2
1,2,2,2,2,1,6,40,10,2,3,1
2,2,1,1,0,1,6,30,8,2,4,3
1,2,2,2,2,1,6,30,1,2,2,2
1,2,2,2,1,0,5,10,5,3,1,3
2,2,2,2,2,1,6,40,1,3,2,3
2,1,1,2,1,1,6,16,9,2,1,2
2,1,2,2,0,1,6,15,10,2,2,2
1,1,1,2,1,1,6,20,5,2,1,3
1,1,1,2,1,1,6,7,3,2,1,3
1,3,1,2,1,1,6,25,5,2,2,1
1,1,1,1,0,1,2,30,5,2,2,3
2,1,1,1,2,1,6,30,8,2,4,3
1,2,1,2,1,0,1,10,9,1,2,1
2,2,1,2,1,1,6,8,1,2,2,2
2,1,0,1,0,0,6,50,9,1,2,1
3,1,2,2,1,0,6,80,3,2,3,3
2,2,2,2,2,1,6,6,8,2,1,2
3,1,1,1,1,1,1,30,9,2,1,2
2,1,1,2,1,1,6,8,3,2,1,3
1,2,2,2,1,1,3,40,9,2,1,2
2,1,1,2,2,0,5,60,9,2,1,2
1,1,2,2,1,1,6,3,2,3,1,3
1,2,2,2,0,0,6,10,9,1,1,1
4,1,2,2,1,1,1,35,7,2,2,2
1,1,2,2,1,1,6,8,5,2,1,3
1,2,2,2,2,1,6,40,9,2,2,2
2,2,0,1,0,1,6,80,7,2,1,3
2,1,1,2,2,0,5,60,9,2,1,2
1,2,1,0,0,1,5,30,9,2,4,3
2,1,1,2,2,0,5,60,9,2,1,2
2,1,1,1,1,1,6,40,4,2,2,2
1,2,1,1,0,1,6,60,10,1,2,3
2,1,2,2,2,1,6,48,2,3,2,3
1,1,2,2,1,1,5,5,1,2,3,2
2,1,1,1,2,1,1,40,2,2,2,2
2,1,2,2,1,1,3,40,4,3,2,2
1,1,1,1,1,1,5,40,4,1,3,3
2,2,2,2,1,0,5,2,3,2,1,2
1,2,0,0,1,1,6,7,2,2,4,3
2,1,2,2,2,1,5,10,4,2,2,3
2,1,2,2,1,0,1,8,2,2,2,3
1,1,1,2,1,0,6,30,9,3,1,2
2,2,1,0,1,0,6,28,7,2,3,3
2,1,2,1,2,1,5,20,7,2,1,3
1,2,1,1,1,1,2,8,7,2,1,2
2,1,2,1,1,1,1,32,7,2,3,2
1,1,1,1,1,1,6,30,9,2,3,3
4,1,2,2,2,1,6,3,2,2,2,3
1,1,1,1,1,1,6,30,9,2,3,3
1,1,2,2,2,0,3,3,4,2,1,3
1,1,1,1,1,1,6,30,9,2,3,3
1,1,1,1,1,1,6,30,9,2,3,3
1,1,1,1,1,1,6,30,9,2,3,3
1,1,1,1,1,1,6,30,9,2,3,3
1,1,1,1,1,1,6,30,9,2,3,3
1,1,1,1,1,1,6,30,9,2,3,3
1,1,1,1,1,1,6,30,9,2,3,3
2,1,1,2,0,1,6,8,5,3,3,3
2,2,2,2,1,1,1,25,2,2,2,1
1,1,1,2,1,1,6,30,9,2,3,2
1,1,1,2,1,0,6,30,9,3,1,2
1,1,2,2,1,1,2,30,9,2,1,2
1,2,1,2,0,1,1,8,7,2,2,2
1,1,2,2,0,1,6,8,5,2,3,2
2,1,0,2,2,1,6,2,5,2,2,3
1,1,2,2,1,1,6,40,3,2,2,2
1,1,2,2,2,1,6,25,2,2,3,2
1,1,2,2,2,1,6,25,2,2,3,2
1,2,2,2,1,1,6,20,9,2,1,2
1,1,1,2,1,1,2,9,6,2,1,1
4,2,2,2,0,0,6,37,2,3,1,3
4,1,1,2,1,1,6,3,4,2,4,3
2,1,2,2,2,1,1,40,3,2,2,3
2,1,2,2,2,1,1,40,3,2,2,3
2,1,2,2,2,1,1,40,3,2,2,3
2,2,2,1,1,1,6,10,9,2,1,1
2,1,2,2,2,1,1,40,3,2,2,3
2,1,2,2,1,1,6,5,10,2,1,3
1,2,0,1,1,1,6,4,5,2,1,2
1,1,1,2,1,1,4,2,3,2,1,3
2,1,2,2,0,0,6,37.5,5,2,4,3
3,1,2,2,1,1,6,38,4,2,4,3
2,2,2,1,1,1,5,6,2,2,1,3
3,2,1,2,1,1,6,5,7,2,1,3
2,1,0,2,1,1,6,10,4,2,2,2
1,1,1,2,1,1,6,20,4,2,1,3
1,2,1,2,1,1,6,6,1,2,1,2
1,1,1,2,1,1,6,6,9,2,1,3
1,2,2,2,1,1,5,5,7,2,3,3
1,1,1,2,1,0,6,30,9,3,1,2
2,2,1,2,0,0,6,10,2,2,1,3
2,2,0,1,1,1,5,25,3,2,3,3
1,2,1,2,1,1,6,8,6,2,4,3
2,2,2,2,1,1,2,56,2,2,3,2
2,1,2,2,1,1,6,20,4,2,3,1
2,1,2,2,1,1,6,5,4,2,3,3
2,2,1,2,1,1,6,5,2,2,3,2
2,2,2,2,1,1,6,10,10,2,1,3
2,2,0,2,1,1,2,3,2,2,1,2
2,1,2,2,2,0,1,5,3,2,3,2
1,1,2,1,1,1,1,40,9,2,2,3
2,1,1,2,2,1,2,40,9,2,2,2
1,2,2,2,1,1,2,7,2,2,1,3
1,1,2,2,1,1,6,30,9,2,3,3
2,1,2,2,1,1,6,15,4,2,2,3
2,2,2,2,1,1,6,11,4,2,1,2
2,1,2,2,1,1,6,40,2,2,4,3
1,2,1,2,1,1,6,5,9,2,2,1
2,1,1,2,0,1,6,8,5,3,3,3
2,1,2,2,0,1,3,35,4,2,1,3
3,1,2,2,2,1,6,20,4,2,1,3
2,2,1,2,1,0,3,30,9,2,2,2
1,1,2,2,2,1,3,3,4,2,1,3
1,1,1,1,1,1,4,25,3,2,1,1
1,1,1,2,1,0,3,30,2,2,2,2
2,1,2,2,2,1,6,9,4,2,2,3
1,1,2,2,2,1,1,64,5,1,4,2
1,2,1,1,1,1,2,5,2,2,1,3
2,1,1,2,0,1,6,8,5,3,3,3
4,1,2,2,1,1,6,40,5,3,3,3
2,2,1,1,1,1,6,5,4,3,2,3
1,2,2,1,1,1,6,36,7,2,1,2
2,1,1,2,0,1,6,48,9,1,2,2
2,2,1,1,2,1,2,50,5,2,1,2
2,1,2,2,0,0,6,50,4,3,4,3
2,1,1,1,2,1,6,50,10,2,2,3
2,2,2,1,1,1,6,6,1,2,1,3
1,1,1,2,0,1,6,10,5,2,3,3
1,2,0,2,2,1,6,8,10,2,3,2
2,1,1,0,2,1,4,30,2,2,1,2
2,1,1,2,0,1,6,8,5,3,3,3
2,1,2,2,0,1,1,30,9,1,1,1
3,2,2,2,1,1,6,8,9,2,1,3
2,1,2,2,2,1,1,5,3,2,3,3
3,2,2,2,1,0,3,37.5,3,2,3,3
2,2,1,2,1,1,3,25,4,2,2,2
2,2,1,1,2,1,6,26,4,2,3,2
2,1,1,2,1,1,1,6,7,3,2,2
2,2,1,2,1,1,6,7,5,2,2,3
1,1,1,2,0,1,6,40,1,2,2,2
1,1,1,2,1,1,6,6,1,2,1,2
1,2,2,2,2,1,6,40,4,2,1,1
2,2,1,1,1,1,6,48,8,2,2,2
5,2,1,2,1,1,6,2,2,3,2,2
2,1,1,2,0,1,6,48,9,1,2,2
2,1,2,2,2,1,1,4,3,2,1,3
2,1,2,2,2,1,6,25,4,2,4,2
3,2,2,2,1,0,6,50,4,2,4,2
2,1,2,2,1,0,6,12,6,3,2,3
4,2,2,2,0,0,6,40,5,2,2,3
2,2,1,1,2,1,4,5,3,2,1,2
2,1,1,2,2,1,1,4,3,2,3,3
2,1,1,2,0,1,6,8,5,3,3,3
1,1,1,2,1,1,5,40,7,2,2,3
1,1,2,2,2,1,6,30,2,2,4,2
1,2,2,1,1,1,4,8,7,2,2,2
2,1,2,2,0,1,6,4,5,2,3,3
1,2,2,2,1,1,6,6,4,2,2,3
1,2,1,1,1,1,1,8,5,2,1,2
