Organization_Type,Job_Performance,Empowerment,Innovative_org_culture,Ethical_leadership,OCB,Perceived_org_goal_clarity,Diffficulty_of_work_life_balance,Training_opportunity,Org_commitment,Teamwork,Overall_job_satisfaction,Turnover_intention,Sex,Age,Education,Tenure
Private,6,7,6,18,13,9,8,8,9,6,3,No,Female,30,College,5
Private,8,7,6,21,12,11,7,8,11,6,3,No,Female,28,College,2
Private,9,9,10,22,15,8,6,10,11,6,5,No,Male,50,College,23
Private,9,7,7,20,,10,5,10,11,8,4,No,Male,55,College,20
Private,7,7,7,22,12,10,5,10,12,7,4,No,Female,31,College,2
Private,9,7,7,19,14,9,4,9,14,7,3,No,Female,32,College,7
Private,7,5,7,20,13,10,3,10,13,7,3,No,Male,31,College,3
Private,8,7,8,,14,11,5,10,14,9,4,No,Male,31,Graduate school,4
Private,7,5,6,20,13,9,4,10,11,10,3,No,Female,35,College,9
Private,7,7,6,23,14,10,2,8,13,7,4,No,Male,35,College,7
Private,7,7,7,22,16,12,7,8,11,8,3,No,Male,33,College,8
Private,7,8,7,21,12,9,7,10,10,6,5,No,Male,39,Graduate school,15
Private,6,6,5,20,14,10,5,11,15,6,4,No,Female,34,College,7
Private,8,8,8,20,13,9,6,9,10,8,3,Yes,Female,32,College,5
Private,8,8,7,24,15,8,6,9,9,6,3,No,Male,30,College,2
Private,10,10,10,20,13,9,6,9,15,6,3,No,Male,53,College,25
Private,7,6,6,22,17,12,6,11,11,8,4,Yes,Male,42,College,20
Private,8,8,10,25,14,11,4,9,11,8,3,No,Male,38,College,8
Private,7,7,6,23,10,12,9,7,15,6,2,Yes,Male,47,College,20
Private,8,7,7,20,17,10,6,10,13,7,3,No,Male,46,College,16
Private,6,7,6,21,16,10,5,9,12,7,4,No,Male,50,College,20
Private,8,8,7,21,15,10,10,9,12,9,3,No,Female,35,College,12
Private,6,6,7,23,14,10,6,11,8,8,4,No,Male,38,College,9
Private,8,7,8,23,14,9,6,9,8,8,4,No,Male,38,College,9
Private,8,7,8,23,14,9,6,9,8,8,4,No,Male,38,College,9
Private,7,7,6,21,16,6,4,6,6,4,4,No,Male,48,College,21
Private,6,7,6,18,13,10,5,9,12,7,4,No,Male,40,College,20
Private,7,5,6,19,13,10,4,8,14,8,3,No,Female,31,College,6
Private,7,9,6,17,9,8,7,6,6,9,3,No,Male,31,College,4
Private,6,6,6,18,13,7,6,7,9,7,2,No,Male,33,College,13
Private,8,7,8,20,14,12,2,9,12,8,4,No,Female,59,High,14
Private,7,7,7,20,12,10,4,8,9,7,3,No,Male,52,College,26
Private,9,5,4,16,13,12,6,10,11,5,4,No,Female,34,High,10
Private,10,10,8,19,16,8,9,5,15,10,2,Yes,Female,28,College,3
Private,7,8,7,20,13,10,6,5,9,4,3,Yes,Female,33,College,8
Private,7,8,8,22,15,13,7,6,10,6,3,Yes,Female,30,College,7
Private,8,7,9,23,17,14,8,3,8,5,2,Yes,Female,36,College,12
Private,6,5,8,21,16,11,8,14,11,9,4,No,Female,37,College,12
Private,10,7,6,19,9,12,6,10,15,10,3,No,Male,70,College,30
Private,9,6,10,23,16,10,3,7,15,6,5,No,Male,32,College,6
Private,7,7,7,20,11,8,5,13,14,8,3,Yes,Male,43,College,18
Private,6,5,8,23,16,12,7,14,12,8,4,No,Male,40,College,12
Private,8,4,7,22,14,10,7,10,11,6,3,No,Male,30,College,3
Private,8,8,6,25,18,13,9,6,13,5,3,Yes,Female,52,College,15
Private,7,4,8,20,18,12,8,14,10,9,3,No,Female,38,College,13
Private,7,7,7,20,14,9,3,10,14,10,3,No,Male,41,College,13
Private,7,7,7,19,13,8,4,9,10,7,3,No,Female,29,College,4
Private,7,7,7,18,12,10,5,8,9,8,4,No,Male,36,College,10
Private,7,5,5,18,14,9,5,10,8,4,4,No,Male,45,College,16
Private,9,8,6,20,14,9,7,10,12,7,5,No,Male,40,College,13
Private,7,7,6,19,9,9,5,5,14,5,2,No,Male,34,College,8
Private,7,7,7,17,8,11,7,8,6,9,3,No,Female,22,College,1
Private,8,5,3,19,11,9,5,6,8,6,2,No,Female,38,College,14
Private,6,7,6,18,11,9,6,11,14,9,3,Yes,Male,33,College,8
Private,7,6,7,20,14,10,6,8,11,7,5,No,Male,43,College,15
Private,7,7,7,20,14,14,5,15,15,9,4,No,Male,28,College,3
Private,6,7,7,17,12,11,8,7,11,8,2,Yes,Female,27,College,2
Private,7,8,6,21,10,11,6,9,13,5,5,No,Male,55,College,32
Private,7,4,8,20,12,12,8,9,12,8,3,No,Female,28,College,5
Private,7,7,7,20,13,12,8,9,12,8,3,Yes,Male,32,College,5
Private,8,8,8,25,16,12,8,9,12,8,4,No,Male,42,College,10
Private,8,8,9,26,14,12,8,9,12,8,5,No,Male,33,College,6
Private,9,8,8,25,16,12,4,12,12,8,4,Yes,Female,20,High,1
Private,8,6,4,12,12,9,8,6,9,6,3,No,Female,32,College,12
Private,8,6,2,21,13,11,4,8,12,8,3,Yes,Female,25,College,0
Private,8,10,5,18,10,12,8,9,11,7,4,No,Male,33,College,9
Private,10,,5,22,10,15,10,9,15,10,3,No,Male,34,College,8
Private,5,6,5,18,12,9,6,9,9,6,3,Yes,Female,28,College,2
Private,4,6,3,7,11,3,4,3,11,2,2,Yes,Female,37,College,10
Private,4,3,4,9,17,3,10,3,11,2,5,Yes,Male,32,College,6
Private,9,9,10,19,17,11,2,11,14,8,3,No,Male,35,College,7
Private,8,4,5,15,13,9,4,3,10,5,2,Yes,Female,29,College,8
Private,8,6,4,18,13,12,4,11,11,8,3,Yes,Male,31,College,7
Private,6,7,5,18,12,8,8,6,10,6,3,Yes,Male,36,College,14
Private,7,4,5,21,12,10,2,4,9,8,2,Yes,Female,31,College,8
Private,7,7,9,21,12,13,6,10,12,7,4,No,,33,College,7
Private,8,7,7,24,13,12,4,12,14,8,5,No,Male,27,College,1
Private,8,8,6,21,9,10,9,6,8,5,2,Yes,Male,3,College,6
Private,7,5,4,18,12,13,4,6,11,5,3,No,Male,39,College,13
Private,8,9,7,21,16,11,10,8,11,8,4,No,Male,34,College,7
Private,10,7,10,23,14,15,10,11,14,7,3,No,Female,31,College,6
Private,7,7,10,23,16,10,8,10,14,8,4,Yes,Male,4,Graduate school,12
Private,8,7,7,19,15,11,10,6,11,7,3,No,Female,3,Middle,1
Private,7,6,10,23,17,10,8,10,14,8,4,Yes,Male,40,High,18
Private,10,7,10,23,14,15,10,12,14,8,3,No,Male,34,College,7
Private,8,6,4,17,14,7,9,9,9,6,3,No,Female,31,College,5
Private,8,6,5,17,14,7,8,9,9,6,3,No,Female,28,College,4
Private,8,7,8,18,15,11,10,6,11,7,3,No,Male,33,College,8
Private,10,7,10,24,14,14,10,12,14,8,3,No,Male,37,College,11
Private,7,6,10,23,17,11,8,11,13,8,4,Yes,Male,40,College,18
Private,7,5,7,18,16,6,8,6,12,8,3,Yes,Female,34,Graduate school,3
Private,10,10,10,30,15,15,8,12,14,10,4,Yes,Female,49,Graduate school,23
Private,7,6,6,24,13,8,8,8,11,7,4,No,Male,30,College,3
Private,10,9,10,23,14,14,8,12,15,8,4,No,Male,39,Graduate school,14
Private,8,6,5,24,14,12,6,10,12,8,4,No,Male,33,College,7
Private,9,5,7,23,16,12,7,10,11,8,3,No,Male,43,College,12
Private,8,5,3,21,13,9,6,9,10,8,4,No,Male,38,College,11
Private,10,6,3,24,15,12,8,7,13,6,4,No,Male,32,College,8
Private,10,8,6,25,15,10,7,11,15,9,5,No,Male,29,College,3
Private,8,8,9,25,19,13,9,12,13,8,4,Yes,Male,49,Graduate school,21
Private,10,8,6,25,16,13,9,9,14,8,4,No,Male,42,College,15
Private,8,7,5,27,16,10,2,9,11,7,4,No,Female,38,College,14
Private,9,7,4,27,17,9,5,6,13,8,4,No,Male,27,College,2
Private,10,8,7,27,17,14,8,14,15,8,4,No,Male,51,College,24
Private,10,8,7,24,15,12,8,12,13,8,4,No,Male,38,College,12
Private,10,10,9,27,13,11,6,9,13,9,3,No,Male,36,College,11
Private,9,8,6,22,15,12,8,8,11,10,4,Yes,Female,26,College,3
